gene_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
LOC126981889,7.01,9.78,7.89,21.94,23.18,17.98,17.92,31.56,24.85,18.31,20.21,7.78,11.25,8.19,2.37,3.28,4,4.05,4.59,1.62
LOC126981890,31.13,81.21,55.61,24.78,25.53,100.21,133.71,78.69,61.99,28.95,46.21,412.41,221.35,379.29,18.42,21.07,28.44,21.97,33.37,33.47
LOC126981891,17.39,25.66,20.5,7.44,7.31,4.71,4.63,7.87,9.37,3.83,7.74,2.29,1.96,2.45,1.64,1.75,1.72,1.14,3.24,1.95
LOC126981892,12.4,9.97,10.32,5.12,5.13,8.25,12.92,6.73,8.19,8.99,8.86,1.03,0.85,2.16,2.96,3.92,3.91,1.56,3.04,1.44
LOC126981893,6.4,12.44,5.65,3.84,3.21,2.37,2.68,5.11,5.32,3.29,4.88,1.11,1.05,0.83,0.52,1,1.06,0.38,1.66,1
LOC126981894,0.18,0.35,0.25,0,0,0,0,0.03,0.57,0,0.16,0.03,0.03,0,0,0.02,0.11,0,0.03,0.04
LOC126981895,0.17,0.53,0.28,0,0.03,0,0,0.08,0,0,0,0,0,0,0.03,0,0.03,0,0.04,0
LOC126981896,6.61,9.56,5.42,20.35,15.58,17.69,21.35,25.52,33.72,33.18,32.9,7.32,7.74,9.29,7.13,12.66,13.03,7.03,27.7,17.04
LOC126981897,0.81,0.41,0.37,241.66,250.95,0.18,0.2,0,0.1,0.08,0.48,0.07,0.04,0,0,0.03,0.06,0,0,0.04
LOC126981898,0,0.08,0,0.33,0.78,1.11,3.21,0.71,2.73,1.18,1.6,0.54,3.93,1.76,1.35,0.92,2.34,0.53,0.49,0.16
LOC126981899,15.66,15.16,27.82,14.12,14.01,31.63,38.94,24.43,13.15,8.58,7.03,18.38,0.42,10.82,14.02,3.04,21.79,5.87,4.26,16.3
LOC126981900,20.96,32.47,27.44,12.43,10.96,7.79,8.27,12.12,14.22,10.63,12.82,1.75,0.89,0.9,2.69,3.3,5.97,2.42,5.32,2.67
LOC126981901,3.29,7.73,7.82,10.51,11.4,4.12,5.9,8.96,7.64,1.56,7.66,1.06,0.67,1.24,2.45,2.73,3.24,1.87,2,3.14
LOC126981902,8.52,22.03,15.98,7.48,6.57,7.57,6.6,9.98,6.15,1.92,4.59,38.98,17.12,22.82,0.65,0.92,1.35,1.07,3.01,1.49
LOC126981903,2.18,4.39,6.19,1.66,1.31,1.17,1.31,2.43,3.72,0.46,2.04,0.83,1.63,2.47,0.55,0.8,0.76,0.35,0.98,0.78
LOC126981904,10.91,38.53,8,5.74,6.24,12.79,14.4,8.52,29.04,9.33,16.24,5.14,2.97,4.36,2.7,8.22,3.48,2.72,8.37,1.15
LOC126981905,1.91,5.14,1.66,1.76,1.63,1.32,1.46,3.55,2.27,0.93,2.54,0.73,0.82,1.34,0.21,0.22,0.36,0.09,0.74,0.59
LOC126981906,11.36,11.87,6.71,6.39,3.95,5.03,5.33,4.91,2.95,3.01,4.75,11.51,8.3,17.85,0.83,1.18,1.16,1.12,2.24,1.55
LOC126981907,2.32,3.48,2.18,13.37,10.58,14.7,4.91,9.21,8.77,8.71,8.93,2.09,0.75,1.59,9.66,9.75,8.46,17.93,9.58,8.05
LOC126981908,1.96,5.29,3.45,2.58,3.97,2.68,3.28,5.25,4.73,1.9,3.4,10.32,0.92,7.84,0.39,0.85,1.03,0.25,1.6,1.5
LOC126981909,0,0.35,0.17,0.91,0.65,0.65,0.79,1.94,1.49,0.54,1.51,0.41,0.46,0.56,0.04,0.05,0.14,0,0,0
LOC126981910,0,0.31,0,0.09,0,0.07,0.08,0.47,0.13,0.1,0.14,0,0,0.1,0,0,0.07,0,0,0
LOC126981911,0,0,0,0.74,0.74,1.13,1.1,2.17,3.55,0.49,2.13,0.32,0.4,0.42,0.06,0.1,0.35,0,0.1,0.11
LOC126981912,0,0.04,0,2.5,1.03,1.92,4.8,6.71,5.07,1.79,3.33,1.17,0.35,1.94,0.08,0.12,0.53,0.07,0.18,0.22
LOC126981913,0.39,0.68,0.49,123.21,116.2,79.29,34.39,123.77,62.49,37.87,73.01,4.9,6.69,5.33,5.95,14.63,3.7,4.73,14.73,3.04
LOC126981914,3.1,7.47,3.26,2.12,2.35,3.91,4.25,6.43,7.44,0.92,5.69,2.05,1.43,1.56,0.78,1.54,2.03,0.71,2.51,1.44
