transcript_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
XR_007762671.1,0.696766,1.167531,0.384258,1.155018,0.174427,0.442245,0.436713,0.208592,0.147503,0.50668,0.971358,0.482955,0.202386,0.136174,0.071392,0.027943,0.103843,0,0,0.00941
XR_007762670.1,0.416632,0.119767,0.304184,0.049889,0.704051,0.039311,0.064796,0.360964,0.753134,0.457311,0.052879,0.033863,0.003472,0.182466,0.034497,0.255076,0.14359,0,0,0.026802
XR_007762672.1,0.320169,1.313404,0.408927,0.071587,0.208209,0.052718,0.212639,0.889722,0.151858,0.110737,0.311658,0.11931,0.051644,0.048086,0.091431,0,0.389731,0,0,0.606927
XM_050883593.1,2.371468,0.01363,4.454236,0,0.054431,1.715566,0,1.373394,0.09483,0,0,0,0,0,0,0.330511,0,0,0,0
XM_050883590.1,0.991188,0,1.726351,2.819092,1.963958,2.44339,2.556954,2.93308,3.998836,0,5.823955,0,0,1.153529,0,0.515263,1.292564,0,0,0
XM_050883591.1,0.018953,0.161333,0,2.104,1.250778,0.033194,1.47692,2.272938,3.298867,0,0.438882,0,0,0.024175,0.011,0.024257,0.030049,0,0,0
XM_050883598.1,10.320893,18.3673,11.486966,15.420968,11.777468,7.709701,6.761765,12.557723,9.876639,7.582578,10.012858,5.60034,5.702943,4.055585,1.976488,3.399879,2.314155,0,0,3.884217
XM_050883595.1,4.504799,17.348824,10.487006,0.600754,0,1.56128,2.588855,6.813508,5.694667,0,1.204924,0,0,0.750709,0,0.454596,1.142537,0,0,0
XR_007762684.1,0.799406,6.631261,1.271098,8.210691,1.041433,1.490638,0.59981,2.596783,4.975505,3.352342,6.935158,0.388591,0.241526,0.13288,0,2.00078,1.160307,0,0,3.223762
XR_007762683.1,0.108014,0.663038,0,0.206503,0.46222,0.808823,0.173791,2.539061,1.861929,0.467061,1.122221,0,0,0.671123,0.191464,0.182862,0.270554,0,0,1.977057
XR_007762686.1,0.109595,0,0,0,0.07367,0.00709,0,0.207754,0.043495,0.021151,0.033788,0,0,0,0.38642,0,0,0,0,0.950911
XR_007762685.1,0.102178,0.002506,0,0.011834,0.107201,0.006743,0.001524,0.189057,0.028823,1.103686,0.024715,0,0.017566,0,0.293458,0.022569,0.003034,0,0,0.700194
XM_050883606.1,0.550582,1.029894,0.460658,0.170392,0.536324,0.260522,0.532156,0.77669,2.042553,0.872407,0.843651,0.170082,0,0.370945,0.63824,1.51801,1.460953,0,0,2.111452
XM_050883600.1,0.275028,0.08402,0.813998,0.083631,0,0,0,0,1.064054,0.048174,1.973284,0,0.169195,0.023622,0,0.048832,0,0,0,0.094223
XM_050883604.1,0.151444,0.430625,0,0.954094,0.895493,0.757581,0.268228,1.752079,0.980158,0.627004,1.657511,0,0,0.070708,0,0.86715,0.248236,0,0,0.100272
XM_050883605.1,0.139067,0.441924,0,0.220971,0.296298,0.186728,0.39044,0.336726,0.109584,0.269585,1.20679,0.026594,0,0,0.510584,0.369371,0.059738,0,0,0.166902
XM_050883638.1,0.14059,0.831427,0.112622,0.402194,0.404699,0.316077,0.177818,0.967402,1.485936,0.208864,1.001423,0.373712,0,0.058558,0.10015,1.143939,0.297439,0,0,1.161829
