transcript_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
XM_050875237.1,0,0,0,0.79,0.45,0.36,0.3,1.29,0.63,0,1.47,0,2.48,0,0.36,0,0.39,0,0.83,0
XM_050875238.1,0,0.77,0.16,0,0,0,1.89,0.77,1.19,0,1.45,3.55,0,0,0.45,0.15,0.82,0,0,0
XM_050875239.1,0.55,1.65,0.82,0.97,0.98,2.43,0.52,5.58,4.21,2,1.75,0.09,0,3.39,0,0.92,0.55,0.37,3.13,3.43
XM_050875240.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0
XM_050875241.1,0,0,0,0,0.02,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875242.1,0,0,0,0,0,0.05,0,0.09,0.08,0.02,0,0,0,0,0,0,0,0,0.1,0.03
XM_050875243.1,0,0.04,0,0.02,0,0,0,0,0.05,0,0.17,0,0,0,0,0,0,0,0,0
XM_050875244.1,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0
XM_050875245.1,0,0,0.06,0.05,0.02,0.05,0,0.23,0.16,0,0.06,0,0,0,0,0,0.01,0.05,0.03,0
XM_050875246.1,0,0.11,0,0.02,0.02,0,0.08,0.19,0.2,0,0,0.03,0,0,0,0,0.01,0.05,0.1,0.17
XM_050875247.1,0,0.03,0,0,0,0,0.04,0.06,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875248.1,0.03,0,0.03,0,0.03,0.04,0,0.18,0,0,0.09,0.05,0.01,0.05,0,0.08,0.03,0,0.04,0.03
XM_050875249.1,23.01,26.83,25.11,6.72,7.01,2.67,2.75,4.35,3.55,2.98,3.08,0.59,0.79,0.93,1.06,1.73,0.93,1.15,2.66,1.58
XM_050875250.1,0,0,0,0,0.02,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0
XM_050875251.1,0,0,0,0.06,0,0,0,0.06,0.1,0,0,0,0,0,0.07,0,0.03,0,0.03,0
XM_050875252.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875253.1,7.98,14.29,9.02,5.67,6.09,9.78,11.88,9.04,12.03,8.13,8.73,5.88,5.05,7.72,2.26,4.63,3.49,3.18,4.17,6.67
XM_050875254.1,4.83,12.5,3.76,3.38,2.11,3.14,3.25,5.98,4.42,1.53,4.01,1.94,2.06,1.39,0.6,1.02,1.21,0.5,1.85,1.82
XM_050875255.1,1.85,8,4.3,1.94,1.51,0.98,0.74,3.11,2.79,0.9,0.96,0.32,0.32,1.13,0,0.18,0.56,0.37,1.31,1.19
XM_050875256.1,0.64,0.48,0.35,0.4,0.59,1.81,1.74,1.59,2.77,1.69,2.3,0.77,1.33,1.12,1.01,1.49,1.73,1.58,2.41,1.29
XM_050875257.1,0.87,1.76,0,0,0.14,0,0.55,0.91,0.72,0.52,0.71,0.11,0.17,0,0.49,0.58,0.74,0.43,1.06,0.33
XM_050875258.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875259.1,0,0.47,0.86,0.64,1.23,0.48,0,2.16,1.46,0,2.4,0.17,0,0,0,0.15,0.18,0,1.51,0.19
XM_050875260.1,0,0.24,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.25,0,0,0.27,0
XM_050875261.1,1.13,2.3,2.84,0.83,0.42,1.02,1.19,0,0.28,0.24,0,0.27,0.42,0,0.25,0.42,0,0.14,0,0.76
XM_050875262.1,0,0.75,0.65,1.4,0.32,0.49,0,1.75,1.4,0,0,0,0,1.55,0,0,0.15,0,0,0
XM_050875263.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875264.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875265.1,0.12,0.12,0,0.06,0.15,0.19,0.12,0.56,0.13,0.05,0,0.07,0.18,0.19,0.17,0.08,0.25,0.11,0.13,0.14
XM_050875266.1,0,0.24,0.05,0.06,0.12,0,0,0,0,0,0,0.05,0,0,0.03,0.14,0.06,0,0,0.07
XM_050875267.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875268.1,10.3,16.1,9.71,9.97,7.53,4.36,4.82,7.72,6.61,4.61,6.81,1.18,1.37,0.99,2.48,3.52,2.09,2.86,5.32,2.4
XM_050875269.1,0,0.07,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875270.1,0,0,0,0,0.04,0.06,0,0,0.26,0,0.47,0,0.04,0,0,0,0,0,0,0
XM_050875271.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875272.1,0,0.25,0,0.06,0,0.06,0,0.41,0.14,0.06,0,0,0.04,0,0,0,0,0,0,0.07
XM_050875273.1,0.05,0.14,0.16,0.24,0.16,0.11,0.08,0.39,0.14,0.06,0.37,0.06,0.04,0,0.03,0.05,0.03,0.1,0,0.07
