transcript_id,eyestalk1,eyestalk2,eyestalk6,ganglion1,ganglion5,ganglion6,gill1,gill2,gill5,heart1,heart2,heart5,hepatopancreas2,hepatopancreas4,hepatopancreas5,intestine1,intestine3,intestine4,muscle1,muscle2,muscle5,ovary1,ovary2,ovary5,stomach1,stomach2,stomach5,testist3,testist4,testist6
XM_050860939.1,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.1,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
XM_050860940.1,0,1.67,1.81,0,0.16,2.49,0.53,0,0,0.35,0,0,1.14,0.79,0,0,0.85,0,0,0,0,0,0,0,2.24,0,0.87,0,0,0
XM_050860941.1,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0.61,0,0
XM_050860942.1,0,0.6,0.45,3.64,2.16,0,1.77,1.65,2.48,0.34,0,0,4,3.74,1.87,3.11,0,2.62,0,0,0.36,0,1.23,0,4.8,0,0.8,0,1,1.69
XM_050860943.1,0.51,3.06,1.39,10.38,7.82,2.39,3.71,3.49,2.55,1.71,3.65,2.69,1.83,1.95,0,5.81,1.03,0.53,1.63,0.7,1.46,4.56,11.7,2.83,1.41,2.77,0,0.96,2.42,2.6
XM_050860944.1,1.31,3.13,0,0,0,0,0,0.86,0,4.37,0.55,5.17,0,0,0,0,0,0,2.97,4.86,0,0,0,0,0,1.33,0,0,0.29,0
XM_050860945.1,2.97,1.14,2.28,0.23,0,0.33,0,0,0,2.26,4.19,4.51,0,0,0,0.19,0,0,2.2,3.92,3.66,0,0,0,0,0.17,0.65,0.11,0,0
XM_050860946.1,8.43,10.3,8.3,31.34,28.78,18.02,14.25,13.08,21.58,19.46,31.77,12.06,11.04,10.9,7.18,16.76,14.53,18.27,14.49,6.01,12.14,11.95,25.12,8.86,19.06,12.96,6.76,4.77,8.49,6.87
XM_050860947.1,0,0,0,0,0,0,0,0,0,0,0.82,1.42,0,0,0,0,0,0,0,0,0.66,0.63,0,0,0,0,0,0,0,0
XM_050860948.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85,0,0,0,2.92,11.18,1.53,0,0,0,0,0,0
XM_050860949.1,0.96,0.43,0,3.86,5.66,0.01,0.7,1.09,3.14,1.4,3.11,1.39,0.65,0.48,1.23,1.9,2.15,4.4,0.7,2.03,0.46,0,1.51,0.47,2.69,2.8,1.02,0,0.73,0
XM_050860950.1,0,0,0,0,2.32,0,0,0,4.31,0,0,3.21,0,0,1.57,0,18.94,0,0,0,1.36,0,0,2.5,0,0,0,0,0,0
XM_050860951.1,0,0,6.53,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
