gene_id,eyestalk1,eyestalk2,eyestalk6,ganglion1,ganglion5,ganglion6,gill1,gill2,gill5,hepatopancreas2,hepatopancreas4,hepatopancreas5,heart1,heart2,heart5,intestine1,intestine3,intestine4,muscle1,muscle2,muscle5,ovary1,ovary2,ovary5,stomach1,stomach2,stomach5,testis3,testis4,testis6
LOC126996522,0.16,0.59,0.16,1.33,1.8,1.11,0.52,0.65,0.49,0.9,0.83,0.21,0.31,0.6,0.07,0.17,0.39,0.16,0.4,0.26,0.28,0.78,1.09,0.6,3.95,1.22,0.77,0.3,0.17,0.51
LOC126996523,5.19,10.3,6.01,0,0,0,0,0,0,0,0,0.08,11.83,14.58,7.05,3.7,0,0.76,34.48,38.09,23.48,0.07,0.05,0,0,7.6,4.27,0.06,0.06,0.16
LOC126996524,0.29,0.55,0.81,0.39,3.75,1.93,0.73,0.47,1.19,0.27,1.22,2.68,0.33,0.13,2.5,1.17,0.15,0.91,0,0.08,0.47,6.04,5.8,13.17,6.79,0.82,4.24,0.33,0.03,0.07
LOC126996525,5.22,1.01,2.43,0,0,0,0,1.01,4.95,0.58,1.35,0,1.43,13.62,26.56,0,0.79,3.3,2.68,13.5,5.24,19.9,39.32,52.96,0,7.08,3.46,0,0.67,0
LOC126996526,0.99,0.77,1.85,0,0,0,0,0,2.27,0,0,0,2.17,3.28,10.97,0,0,0,0,2.73,1.98,2.75,13.25,12.16,0.59,0.45,1.65,0,0,0
LOC126996527,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126996528,0.95,2.52,0.96,5.1,2.52,5.92,0.95,0.16,0.62,25.73,37.86,20.08,0.17,0.07,0.21,1.1,0.3,0.77,0.35,1.82,0.72,0.21,0.74,0.28,0.46,1.95,0.78,0.2,0.23,0.18
LOC126996529,43.12,23.07,24.94,1.58,0.25,0.75,102.09,44.29,58.56,0.15,0.49,0,0.27,0.18,0,161.22,0.6,104.12,1.95,5.45,1.54,1.28,3.89,1.41,4.32,11.5,9.44,0.58,0.83,0.53
LOC126996530,8.88,9.57,5.11,10.6,9.14,6.96,14.57,16.82,12.15,9.33,13.3,14.87,12.26,14.9,9.14,7.67,4.61,7.97,13.42,12.32,10.44,26.99,22.95,22.66,27.66,22.63,15.51,5.11,7.85,6.22
LOC126996531,69.78,73.19,45.71,163.46,126.76,105.25,105.47,131.06,129.28,99.13,98.09,102.15,132.76,124.81,136.68,98.65,171.97,89.49,203.59,133.23,139.94,110.09,388.08,88.09,183.3,149.73,100.94,20.14,33.26,28.6
LOC126996532,0.28,1.57,1.9,7.27,5.56,0.46,0,0,0,0,0,0,0.09,0.25,0.1,0,0,0,0,0,0.03,0,0.11,0,0,0.03,0,0,0,0
LOC126996533,1.02,2.22,1.51,8.68,9.26,1.34,2.47,1.9,0.53,0.05,0,0,0.44,0.64,0.27,10.77,0,5.08,0.24,1.11,0.56,0.8,1.99,0.65,0.28,1.16,0.42,0.64,1.46,0.17
LOC126996534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126996535,0.49,1.91,1.9,2.52,4.33,0.08,0.36,0.22,3.42,0,0,0,0.08,0.08,0.04,2.34,0,2.1,0.1,0,0,0.1,0,0.07,14.02,1.95,3.79,0,0.16,0
LOC126996536,10.3,11.94,1.8,73.78,10.85,4.6,80.77,139.31,37.75,5.98,0.97,1.33,6.56,2.45,0.61,10.83,1.8,0.65,5.85,1.06,5.49,4.44,5.49,4.26,198.77,125.25,66.02,1.03,1.76,1.03
LOC126996537,0,0.27,0,0.34,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.04,0,0.44,0,0,0,0.4,0
LOC126996538,10.01,8.57,5.96,40.77,34.72,27.32,11.16,9.55,16.08,18.91,18.51,18.16,11.52,10.32,11.44,17.94,22.21,19.01,5.74,5.14,4.3,7.54,11.39,8.15,32.01,19.13,15.44,4.43,7,4.01
LOC126996539,0,0.36,2.76,1.13,0,139.97,0.7,0,0,2071.48,2229.88,4230.1,0,0,0,1.08,0.43,0,0,0.48,0,0.54,0,0.33,0,0,0.15,0.55,0.19,0.48
LOC126996540,0,0.4,1.45,0.63,0,51.16,0.26,0,0,853.44,1301.66,2232.84,0,0,0,0.69,0.32,0,0,0,0.13,0.12,0,0,0,0,0,0.2,0.21,0.15
LOC126996541,0.08,0,0,0.13,0,0.74,0.16,0,0,57.51,108.92,121.93,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0.09,0
